trip_date,total_pooled_trips,total_trips,pool_efficiency_pct
2025-08-20,7890,232315,3.396250780190689
2025-08-21,8635,240073,3.5968226331157607
2025-08-22,10003,265337,3.7699227774490556
2025-08-23,11115,276354,4.022015241320914
2025-08-24,10943,243008,4.503143929417962
2025-08-25,8690,215413,4.034111218914364
2025-08-26,8716,222912,3.910063163939133
2025-08-27,6717,219204,3.064268900202551
2025-08-28,9829,246616,3.9855483829110847
2025-08-29,10507,268118,3.918796947612618
2025-08-30,11505,267359,4.303202809705303
2025-08-31,11394,249033,4.575297249762079
2025-09-01,7705,179247,4.298537771901343
2025-09-02,9160,208397,4.395456748417684
2025-09-03,8706,218995,3.975433229069157
2025-09-04,11415,253961,4.49478463228606
2025-09-05,9441,276003,3.42061499331529
2025-09-06,5853,279396,2.094876089850964
2025-09-07,5328,224335,2.375019502083937
2025-09-08,8087,208722,3.8745316737095274
2025-09-09,8055,221513,3.6363554283495776
2025-09-10,5594,237348,2.356876822218852
2025-09-11,5002,249545,2.004448095533872
2025-09-12,5212,268143,1.9437389750991074
2025-09-13,4915,284343,1.7285461572818743
2025-09-14,5146,231328,2.224546963618758
2025-09-15,4528,202100,2.240475012370114
2025-09-16,5112,216652,2.359544338385983
2025-09-17,5140,226461,2.2697064836771013
2025-09-18,5586,243099,2.297829279429368
2025-09-19,7021,273635,2.5658267400003654
2025-09-20,7755,286517,2.7066456789649482
2025-09-21,8094,235705,3.4339534587726184
2025-09-22,7227,212432,3.402029826014913
2025-09-23,7467,228681,3.2652472221129
2025-09-24,6317,227379,2.778180922600592
2025-09-25,8579,267412,3.208158197837045
2025-09-26,8084,274282,2.947331578448458
2025-09-27,9133,294940,3.096562012612735
2025-09-28,7803,237488,3.2856396954793503
2025-09-29,6430,212563,3.024985533700597
2025-09-30,5868,214299,2.738230229725757
2025-10-01,6052,222438,2.720758143842329
2025-10-02,5448,233926,2.328941631114113
2025-10-03,5794,270278,2.143718689645476
2025-10-04,5584,285407,1.9565042202889207
2025-10-05,5274,236816,2.2270454699006823
2025-10-06,4189,207270,2.02103536450041
2025-10-07,4660,233247,1.9978820735100558
2025-10-08,4423,233638,1.8930995814037102
2025-10-09,4987,246733,2.0212132142842667
2025-10-10,5706,272906,2.090829809531487
2025-10-11,3767,251035,1.5005875674706715
2025-10-12,4298,227957,1.88544330729041
2025-10-13,3278,162848,2.012920023580271
2025-10-14,4608,213588,2.157424574414293
2025-10-15,4995,227007,2.200372675732466
2025-10-16,6379,244889,2.604853627561875
2025-10-17,8905,292429,3.0451836172199065
2025-10-18,7734,283180,2.7311250794547637
2025-10-19,8030,238762,3.363181745838953
2025-10-20,7385,227736,3.2427898970738047
2025-10-21,6955,229520,3.0302370163820145
2025-10-22,7513,239940,3.1311994665333
2025-10-23,7708,255614,3.0154842848983234
2025-10-24,8811,289491,3.043617936308901
2025-10-25,8771,303667,2.888361264147899
2025-10-26,7844,233085,3.3652959220885084
2025-10-27,6263,221796,2.8237659831556927
2025-10-28,6161,233599,2.637425673911275
2025-10-29,5578,238193,2.341798457553329
2025-10-30,7511,284394,2.6410543119756396
2025-10-31,8224,346501,2.373441923688532
2025-11-01,7786,333214,2.3366365158726823
2025-11-02,5813,248430,2.3398945376967353
2025-11-03,4409,213681,2.0633561243161536
2025-11-04,4254,218410,1.9477130168032601
2025-11-05,4364,236929,1.841902004397942
2025-11-06,4672,246137,1.8981299032652548
2025-11-07,5626,273575,2.0564744585579824
2025-11-08,5239,280914,1.8649835892835531
2025-11-09,6025,239486,2.515804681693293
2025-11-10,5774,228691,2.524804211796704
2025-11-11,5121,231093,2.2159909646765588
2025-11-12,5066,237722,2.131060650676
2025-11-13,5618,261062,2.1519792233262596
2025-11-14,5883,278407,2.1130934207832417
2025-11-15,6265,294420,2.1279125059438897
2025-11-16,5565,228551,2.434905119645068
2025-11-17,5396,212972,2.533666397460699
2025-11-18,5349,223840,2.3896533238027162
2025-11-19,5479,232132,2.3602950045663675
2025-11-20,6208,254183,2.4423348532356606
2025-11-21,7249,282115,2.569519522180671
2025-11-22,6767,285799,2.3677479627290507
2025-11-23,6228,217472,2.8638169511477343
2025-11-24,5384,209011,2.5759409791829135
2025-11-25,6794,237753,2.857587496267134
2025-11-26,5990,247145,2.4236784074126527
2025-11-27,6213,270522,2.296670880741677
2025-11-28,7685,308837,2.4883676502491605
2025-11-29,6809,300158,2.2684719381125937
2025-11-30,7106,238850,2.9750889679715304
2025-12-01,5592,223312,2.5041197965178763
2025-12-02,5737,240596,2.384495170327021
2025-12-03,5750,256527,2.2414794544044097
2025-12-04,6586,289918,2.2716768189626033
2025-12-05,7425,316822,2.3435872508853555
2025-12-06,7329,323761,2.263706870191283
2025-12-07,6365,248658,2.559740688013255
2025-12-08,6259,233719,2.678002216336712
2025-12-09,6737,256675,2.6247199766241356
2025-12-10,7810,279462,2.7946554451052377
2025-12-11,7671,302783,2.5334975873810617
2025-12-12,8945,332617,2.689279261132173
2025-12-13,9583,347962,2.7540363602922158
2025-12-14,8355,274411,3.044703018465003
2025-12-15,7004,240859,2.9079253837307304
2025-12-16,6666,255117,2.612918778442832
2025-12-17,6743,259380,2.5996607294317218
2025-12-18,6994,276672,2.527903076567199
2025-12-19,9148,328877,2.7815870370989764
2025-12-20,7501,307813,2.4368691380805876
2025-12-21,6735,253327,2.6586190970563734
2025-12-22,5869,226958,2.585941011112188
2025-12-23,5963,243160,2.452294785326534
2025-12-24,5512,232076,2.3750840241989692
2025-12-25,3958,168707,2.3460792972431492
2025-12-26,5827,189050,3.082253372123777
2025-12-27,5117,228268,2.241663308041425
2025-12-28,6113,230810,2.648498765218145
2025-12-29,5672,214258,2.6472757143257195
2025-12-30,5480,224423,2.441817460777193
2025-12-31,7712,313522,2.459795484846359
